year,make,model,body_styles
2018,Acura,ILX,"[""Sedan""]"
2018,Acura,MDX,"[""SUV""]"
2018,Acura,MDX Sport Hybrid,"[""SUV""]"
2018,Acura,NSX,"[""Coupe""]"
2018,Acura,RDX,"[""SUV""]"
2018,Acura,RLX,"[""Sedan""]"
2018,Acura,RLX Sport Hybrid,"[""Sedan""]"
2018,Acura,TLX,"[""Sedan""]"
2018,Alfa Romeo,4C Spider,"[""Convertible""]"
2018,Alfa Romeo,Giulia,"[""Sedan""]"
2018,Alfa Romeo,Stelvio,"[""SUV""]"
2018,Audi,A3,"[""Sedan""]"
2018,Audi,A4,"[""Sedan""]"
2018,Audi,A5,"[""Coupe"", ""Convertible"", ""Sedan""]"
2018,Audi,A6,"[""Sedan""]"
2018,Audi,A6 allroad,"[""Wagon""]"
2018,Audi,A7,"[""Sedan""]"
2020,Audi,Q3,"[""SUV""]"
2020,Audi,Q5,"[""SUV""]"
2020,Audi,Q7,"[""SUV""]"
2020,Audi,Q8,"[""SUV""]"
2020,Audi,R8,"[""Coupe"", ""Convertible""]"
2020,Audi,S4,"[""Sedan""]"
2020,Audi,S8,"[""Sedan""]"
2020,Audi,SQ5,"[""SUV""]"
2020,Audi,TT,"[""Coupe""]"
2020,BMW,2 Series,"[""Coupe"", ""Sedan"", ""Convertible""]"
2020,BMW,3 Series,"[""Sedan""]"
2020,BMW,4 Series,"[""Sedan"", ""Coupe"", ""Convertible""]"
2020,BMW,5 Series,"[""Sedan""]"
2020,BMW,7 Series,"[""Sedan""]"
2020,BMW,8 Series,"[""Coupe"", ""Convertible"", ""Sedan""]"
2020,BMW,M2,"[""Coupe""]"
2020,BMW,X1,"[""SUV""]"
2020,BMW,X2,"[""SUV""]"
2019,BMW,X3,"[""SUV""]"
2019,BMW,X3 M,"[""SUV""]"
2019,BMW,X4,"[""SUV""]"
2019,BMW,X5,"[""SUV""]"
2019,BMW,X6,"[""SUV""]"
2019,BMW,X7,"[""SUV""]"
2019,BMW,Z4,"[""Convertible""]"
2019,Buick,Enclave,"[""SUV""]"
2019,Buick,Encore,"[""SUV""]"
2019,Buick,Encore GX,"[""SUV""]"
2019,Buick,Envision,"[""SUV""]"
2019,Buick,Regal Sportback,"[""Sedan""]"
2019,Buick,Regal TourX,"[""Wagon""]"
2019,Cadillac,CT4,"[""Sedan""]"
2019,Cadillac,CT5,"[""Sedan""]"
2019,Cadillac,CT6,"[""Sedan""]"
2019,Cadillac,CT6-V,"[""Sedan""]"
2019,Cadillac,Escalade,"[""SUV""]"
2019,Cadillac,Escalade ESV,"[""SUV""]"
2019,Cadillac,XT4,"[""SUV""]"
2019,Cadillac,XT5,"[""SUV""]"
2019,Cadillac,XT6,"[""SUV""]"
2019,Chevrolet,Blazer,"[""SUV""]"
2019,Chevrolet,Bolt EV,"[""Hatchback""]"
2019,Chevrolet,Camaro,"[""Convertible"", ""Coupe""]"
2019,Chevrolet,Colorado Crew Cab,"[""Pickup""]"
2019,Chevrolet,Colorado Extended Cab,"[""Pickup""]"
2019,Chevrolet,Corvette,"[""Coupe"", ""Convertible""]"
2019,Chevrolet,Equinox,"[""SUV""]"
2019,Chevrolet,Express 2500 Cargo,"[""Van/Minivan""]"
2019,Chevrolet,Express 3500 Cargo,"[""Van/Minivan""]"
2019,Chevrolet,Impala,"[""Sedan""]"
2019,Chevrolet,Malibu,"[""Sedan""]"
2019,Chevrolet,Silverado 1500 Crew Cab,"[""Pickup""]"
2019,Chevrolet,Silverado 1500 Double Cab,"[""Pickup""]"
2019,Chevrolet,Silverado 1500 Regular Cab,"[""Pickup""]"
2019,Chevrolet,Silverado 2500 HD Crew Cab,"[""Pickup""]"
2019,Chevrolet,Silverado 2500 HD Double Cab,"[""Pickup""]"
2019,Chevrolet,Silverado 3500 HD Crew Cab,"[""Pickup""]"
2019,Chevrolet,Sonic,"[""Sedan"", ""Hatchback""]"
2019,Chevrolet,Spark,"[""Hatchback""]"
2019,Chevrolet,Suburban,"[""SUV""]"
2019,Chevrolet,Tahoe,"[""SUV""]"
2019,Chevrolet,Traverse,"[""SUV""]"
2019,Chevrolet,Trax,"[""SUV""]"
2019,Chrysler,300,"[""Sedan""]"
2019,Chrysler,Pacifica,"[""Van/Minivan""]"
2019,Chrysler,Pacifica Hybrid,"[""Van/Minivan""]"
2019,Chrysler,Voyager,"[""Van/Minivan""]"
2019,Dodge,Challenger,"[""Coupe""]"
2019,Dodge,Charger,"[""Sedan""]"
2019,Dodge,Durango,"[""SUV""]"
2019,Dodge,Grand Caravan Passenger,"[""Van/Minivan""]"
2019,Dodge,Journey,"[""SUV""]"
2019,FIAT,124 Spider,"[""Convertible""]"
2019,FIAT,500L,"[""Hatchback""]"
2019,FIAT,500X,"[""SUV""]"
2019,Ford,EcoSport,"[""SUV""]"
2019,Ford,Edge,"[""SUV""]"
2019,Ford,Escape,"[""SUV""]"
2019,Ford,Expedition,"[""SUV""]"
2019,Ford,Expedition MAX,"[""SUV""]"
2019,Ford,Explorer,"[""SUV""]"
2019,Ford,F150 Regular Cab,"[""Pickup""]"
2019,Ford,F150 Super Cab,"[""Pickup""]"
2019,Ford,F150 SuperCrew Cab,"[""Pickup""]"
2019,Ford,F250 Super Duty Crew Cab,"[""Pickup""]"
2019,Ford,F250 Super Duty Regular Cab,"[""Pickup""]"
2019,Ford,F250 Super Duty Super Cab,"[""Pickup""]"
2019,Ford,F350 Super Duty Crew Cab,"[""Pickup""]"
2019,Ford,F350 Super Duty Super Cab,"[""Pickup""]"
2019,Ford,F450 Super Duty Crew Cab,"[""Pickup""]"
2019,Ford,Fusion,"[""Sedan""]"
2019,Ford,Fusion Plug-in Hybrid,"[""Sedan""]"
2019,Ford,Mustang,"[""Coupe"", ""Convertible""]"
2019,Ford,Ranger SuperCab,"[""Pickup""]"
2019,Ford,Ranger SuperCrew,"[""Pickup""]"
